OBJECTID,LIT,Date,Observer,Unit_Name,Subunit_Name,VantagePolygonID,ProportionVisible,Timothy_Low,Timothy_Med,Timothy_High,Watergrass_Low,Watergrass_Med,Watergrass_High,NoFoodCover,AreaVisible,Comments,Shape_Length,Shape_Area
160,CLS,2019-08-20 18:04,JM,T15,T15:1,VP263,0.102582157,0.150,0.600,0.350,0.000,0.000,0.000,0.000,3.601205349,,704.2089961,24264.79305
161,CLS,2019-08-20 18:09,JM,T15,T15:1,VP264,0.083938621,0.300,0.000,0.000,0.000,0.000,0.000,0.700,2.946712732,,535.3401679,19855.76792
162,CLS,2019-08-20 18:33,JM,T13A,T13A,VP266,0.151628375,0.000,0.100,0.800,0.000,0.000,0.000,0.100,13.50134754,,1196.935101,90985.93206
163,CLS,2019-08-20 18:54,JM,T13A,T13A,VP267,0.061566003,0.000,0.700,0.300,0.000,0.000,0.000,0.025,5.481983185,,918.3954298,36943.05155
164,CLS,2019-08-20 7:22,JM,T13A,T13A,VP268,0.015029429,0.050,0.050,0.600,0.000,0.000,0.000,0.300,1.338256121,,521.4775228,9019.841591
165,CLS,2019-08-20 19:31,TB,T13A,T13A,VP269,0.119573973,0.050,0.100,0.700,0.000,0.000,0.000,0.000,10.64714622,,1015.220698,71759.89605
166,CLS,2019-08-20 19:46,JM,T13A,T13A,VP270,0.227364451,0.100,0.200,0.650,0.000,0.000,0.000,0.050,20.24507141,,1515.177695,136442.771
167,CLS,2019-08-21 17:13,JM,T6,T6:2,VP273,0.030538151,0.000,0.000,0.000,0.050,0.400,0.400,0.150,1.039758205,,388.8045812,7012.722399
168,CLS,2019-08-21 17:15,JM,T6,T6:2,VP274,0.06654907,0.000,0.000,0.000,0.200,0.350,0.350,0.100,2.265851974,,692.0725251,15282.42375
169,CLS,2019-08-21 17:18,JM,T6,T6:2,VP275,0.060207848,0.000,0.000,0.000,0.250,0.250,0.250,0.250,2.049947023,,492.0919606,13826.533
170,CLS,2019-08-21 17:21,JM,T6,T6:2,VP276,0.185412809,0.000,0.000,0.000,0.100,0.400,0.400,0.100,6.312904835,,971.1009246,42579.55253
171,CLS,2019-08-21 17:29,JM,T6,T6:2,VP280,0.413488239,0.000,0.000,0.000,0.400,0.300,0.300,0.300,14.07838058,,1788.063633,94952.2069
172,CLS,2019-08-21 17:31,JM,T6,T6:3,VP281,0.189916372,0.000,0.000,0.000,0.100,0.550,0.200,0.150,8.612990379,,958.2159241,58088.78483
173,CLS,2019-08-21 17:40,JM,T6,T6:1,VP284,0.235309973,0.000,0.000,0.000,0.150,0.450,0.350,0.050,6.256122112,,820.8828454,42199.93041
174,CLS,2019-08-21 17:50,JM,T6,T6:3,VP286,0.112154163,0.000,0.000,0.000,0.150,0.600,0.000,0.250,5.086357594,,805.8275025,34301.28162
175,CLS,2019-08-21 17:52,JM,T6,T6:3,VP287,0.197865263,0.000,0.000,0.000,0.200,0.400,0.350,0.050,8.973484039,,1046.540179,60517.00541
176,CLS,2019-08-21 17:54,JM,T6,T6:4,VP288,0.522809327,0.000,0.000,0.000,0.200,0.600,0.200,0.000,14.92187214,,1248.32115,100627.5103
177,CLS,2019-08-21 18:11,JM,T10,T10:3,VP292,0.158194989,0.000,0.000,0.300,0.000,0.000,0.000,0.700,6.792581081,New Timothy not developed,931.8044206,45801.2003
178,CLS,2019-08-21 18:14,JM,T10,T10:3,VP293,0.234924152,0.000,0.000,0.000,0.100,0.000,0.000,0.000,10.08717918,,1102.40697,68015.44247
179,CLS,2019-08-21 18:39,JM,T24,T24:5,VP295,0.21852389,0.000,0.000,0.000,0.000,0.000,0.650,0.350,6.152636528,,833.5243864,41445.37313
180,CLS,2019-08-21 18:41,JM,T24,T24:5,VP296,0.141740665,0.000,0.000,0.000,0.000,0.400,0.400,0.200,3.990771294,,679.174929,26882.91419
181,CLS,,JM,T24,T24:5,VP297,0.034276705,0.000,0.000,0.000,0.000,0.200,0.000,0.800,0.965075791,Cattail,332.6608765,6501.224593
182,CLS,2019-08-21 18:44,JM,T24,T24:5,VP298,0.304413646,0.000,0.000,0.000,0.250,0.250,0.200,0.300,8.570900917,,985.8947425,57738.43423
183,CLS,2019-08-21 18:49,JM,T24,T24:4,VP300,0.196561635,0.000,0.000,0.000,0.200,0.250,0.250,0.300,6.664330959,,826.089406,44898.95091
184,CLS,2019-08-21 18:51,JM,T24,T24:4,VP301,0.124785691,0.000,0.000,0.000,0.100,0.350,0.350,0.200,4.230801105,,661.5126187,28503.98134
185,CLS,2019-08-21 18:54,JM,T24,T24:4,VP302,0.106827974,0.000,0.000,0.000,0.000,0.400,0.400,0.200,3.621953487,,689.565635,24401.01427
186,KRN,2019-08-23 14:52,GG,5A,5A-5,VP303,0.203722522,0.150,0.100,0.000,0.000,0.000,0.000,0.750,6.728562832,,782.2793214,41419.67932
187,KRN,2019-08-23 14:54,GG,5A,5A-3,VP304,0.085909218,0.200,0.150,0.000,0.000,0.000,0.000,0.650,4.503788471,,744.5957706,27724.34808
188,KRN,2019-08-23 14:55,GG,5B,5B-3,VP305,0.269734412,0.200,0.100,0.000,0.000,0.000,0.000,0.700,15.52163887,,1199.289519,95552.49713
189,KRN,2019-08-23 14:57,GG,5B,5B-5,VP306,0.173367262,0.300,0.150,0.000,0.000,0.000,0.000,0.550,8.693989754,,928.0880827,53521.19102
190,KRN,2019-08-23 15:03,GG,5A,5A-3,VP307,0.123792276,0.050,0.000,0.000,0.000,0.000,0.000,0.950,6.489806175,,933.9144656,39947.88888
191,KRN,2019-08-23 15:06,GG,5B,5B-2,VP308,0.292641222,0.200,0.400,0.000,0.000,0.000,0.000,0.400,8.626984596,,926.6486076,53107.65182
192,KRN,2019-08-23 15:09,GG,5B,5B-2,VP309,0.127623335,0.200,0.300,0.000,0.000,0.000,0.000,0.500,3.762302399,,595.3584291,23160.57474
193,KRN,2019-08-23 15:10,GG,5A,5A-3,VP310,0.102238327,0.100,0.050,0.000,0.000,0.000,0.000,0.850,5.359841347,,706.789092,32993.75433
194,KRN,2019-08-23 15:13,GG,5A,5A-3,VP311,0.279557467,0.650,0.150,0.000,0.000,0.000,0.000,0.200,14.65578938,,1180.20062,90211.84049
195,KRN,2019-08-23 15:16,GG,5B,5B-3,VP312,0.067972265,0.050,0.000,0.000,0.000,0.000,0.000,0.950,3.911406755,,641.038325,24079.12486
196,KRN,2019-08-23 15:24,GG,5B,5B-2,VP314,0.212763086,0.100,0.100,0.000,0.000,0.000,0.000,0.800,6.272199154,,860.9106923,38613.48505
197,KRN,2019-08-23 15:25,GG,5B,5B-1,VP315,0.237442806,0.250,0.350,0.150,0.000,0.000,0.000,0.250,5.41338253,,713.3634917,33327.73229
198,KRN,2019-08-23 15:29,GG,5B,5B-3,VP316,0.250837982,0.150,0.500,0.200,0.000,0.000,0.000,0.150,14.43426228,,1137.293623,88866.35506
199,KRN,2019-08-23 15:30,GG,6A,6A-1,VP317,0.187164783,0.150,0.450,0.200,0.000,0.000,0.000,0.200,10.09331131,,1060.486126,62144.57394
200,KRN,2019-08-23 15:38,GG,5B,5B-5,VP319,0.217952251,0.050,0.050,0.000,0.000,0.000,0.000,0.900,10.92983246,,1009.249916,67290.86006
201,KRN,2019-08-23 15:39,GG,6A,6A-1,VP320,0.092631444,0.050,0.000,0.000,0.000,0.000,0.000,0.950,4.995372772,,702.9046388,30756.17774
202,KRN,2019-08-23 15:41,GG,5B,5B-6,VP321,0.2822541,0.150,0.250,0.050,0.000,0.000,0.000,0.450,9.02883625,,972.1799091,55587.46788
203,KRN,2019-08-23 15:42,GG,6A,6A-2,VP322,0.12363413,0.100,0.050,0.000,0.000,0.000,0.000,0.850,6.182388306,,795.7768239,38064.45483
204,KRN,2019-08-23 15:46,GG,6A,6A-5,VP323,0.201132312,0.200,0.250,0.150,0.000,0.000,0.000,0.400,6.849243641,,970.2487597,42170.61436
205,KRN,2019-08-23 15:48,GG,6A,6A-4,VP324,0.361516714,0.100,0.150,0.150,0.000,0.000,0.000,0.600,10.27067947,,1040.149337,63241.90483
206,KRN,2019-08-23 15:49,GG,6A,6A-5,VP325,0.232302189,0.300,0.200,0.050,0.000,0.000,0.000,0.450,7.910684586,,871.6142427,48708.13889
207,KRN,2019-08-23 15:51,GG,6A,6A-5,VP326,0.176413193,0.250,0.250,0.100,0.000,0.000,0.000,0.400,6.007472992,,912.5951842,36989.05647
208,KRN,2019-08-23 15:55,GG,5B,5B-6,VP328,0.193288386,0.150,0.100,0.050,0.000,0.000,0.000,0.700,6.182972431,,803.0433184,38066.61265
209,KRN,2019-08-23 15:58,GG,5B,5B-6,VP329,0.187383831,0.150,0.350,0.200,0.000,0.000,0.000,0.300,5.994095325,,777.0059645,36902.26128
210,KRN,2019-08-23 16:05,GG,5B,5B-7,VP330,0.770584524,0.200,0.350,0.300,0.000,0.000,0.000,0.150,22.95151138,,1920.486865,141289.5528
211,KRN,2019-08-23 16:13,GG,6A,6A-2,VP331,0.283756107,0.200,0.200,0.100,0.000,0.000,0.000,0.500,14.18937016,,1350.700438,87371.81116
212,KRN,2019-08-23 16:17,GG,6A,6A-1,VP332,0.312870651,0.050,0.150,0.050,0.000,0.000,0.000,0.850,16.87229538,,1298.25333,103893.2467
213,SAC,2019-07-16 16:17,KMO,T14,T14:2,VP51,0.270690054,0.000,0.000,0.000,0.100,0.600,0.100,0.000,9.752919197,20% non strata,1366.904787,66228.56184
214,SAC,2019-07-16 20:23,KMO,T14,T14:2,VP54,0.146751314,0.000,0.000,0.000,0.350,0.400,0.000,0.000,5.287425995,25% non strata,910.8142008,35906.44628
215,SAC,2019-07-22 1:04,JM,T36,T36:2,VP92,0.198165342,0.000,0.000,0.000,0.000,0.000,0.850,0.150,9.993406296,,1053.72883,67794.40904
216,PIX,2019-08-08 17:29,GG,1,1,VP95,0.114042334,0.000,0.000,0.000,0.000,0.000,0.000,1.000,16.0736866,,1359.201712,99390.55256
217,KRN,2019-08-09 15:25,TB,14,14D-1,VP96,0.064703889,0.000,0.000,0.000,0.000,0.000,0.000,1.000,5.331403255,,828.9581094,32819.62358
218,KRN,2019-08-09 15:27,GG,14,14D-1,VP97,0.042125832,0.200,0.050,0.000,0.000,0.000,0.000,0.000,3.471039534,,591.0378441,21366.65944
219,KRN,2019-08-09 15:30,TB,14,14E-1,VP98,0.018769758,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.61192584,,421.3112891,9923.413207
220,KRN,2019-08-09 15:32,TB,14,14E-1,VP99,0.022815783,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.959394097,,522.2434429,12062.33741
221,KRN,2019-08-09 15:46,TB,14,14E-1,VP102b,0.042245366,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.627985239,,592.4343058,22336.32285
222,KRN,2019-08-09 15:49,GG,14,14D-1,VP103,0.063296728,0.050,0.000,0.000,0.000,0.000,0.000,0.950,5.215457439,"Overgrown, mostly upland plants, walked through unit",710.5298272,32102.99215
223,KRN,2019-08-09 15:50,Tb,14,14E-1,VP104,0.054222651,0.000,0.000,0.000,0.000,0.000,0.000,1.000,4.656580925,,761.438102,28667.95273
224,KRN,2019-08-09 15:50,JM,14,14D-1,VP105,0.027735032,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.285282373,,590.5084915,14066.74061
225,KRN,2019-08-09 15:50,TB,14,14E-1,VP106,0.037949022,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.259020329,,637.6886061,20064.53023
226,KRN,2019-08-09 15:53,TB,14,14E-1,VP107,0.025826871,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.217983246,,578.4401167,13654.84343
227,KRN,2019-08-09 15:54,TB,14,14E-1,VP108,0.043502625,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.735956907,,680.2036014,22999.45866
228,KRN,2019-08-09 16:02,TB,14,14E-1,VP110,0.010502556,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.901947856,,309.5812005,5552.164645
229,KRN,2019-08-09 16:04,LD,14,14E-1,VP111,0.049430482,0.050,0.000,0.000,0.000,0.000,0.000,0.950,4.245035172,,784.856212,26131.69763
230,KRN,2019-08-09 16:13,tB,14,14E-1,VP113,0.053070366,0.400,0.050,0.000,0.000,0.000,0.000,0.550,4.557623863,,690.8485429,28060.5516
231,KRN,2019-08-09 16:22,GG,14,14D-1,VP118,0.011369553,0.050,0.000,0.000,0.000,0.000,0.000,0.950,0.936816514,,336.3920675,5766.011198
232,KRN,2019-08-09 16:28,LD,14,14G-1,VP120,0.041639145,0.400,0.300,0.000,0.000,0.000,0.000,0.300,5.538655281,,892.1357336,34099.80703
233,KRN,2019-08-09 16:29,Tb,14,14G-1,VP121,0.078266092,0.050,0.700,0.200,0.000,0.000,0.000,0.000,10.4106102,,1116.257926,64096.56322
234,KRN,2019-08-09 16:42,TB,14,14G-1,VP127,0.039046876,0.750,0.050,0.000,0.000,0.000,0.000,0.000,5.193842888,,757.2203421,31982.82188
235,KRN,2019-08-09 16:45,TB,14,14G-1,VP128,0.03035821,0.000,0.000,0.000,0.000,0.000,0.000,1.000,4.038114548,,707.0137299,24864.31286
236,KRN,2019-08-09 16:47,LD,14,14G-1,VP129,0.035969913,0.000,0.000,0.000,0.000,0.000,0.000,1.000,4.784558773,,760.1146388,29460.99522
237,KRN,2019-08-09 17:07,GG,14,14B-2,VP134,0.009088487,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.833550632,,288.7199779,5130.161303
238,KRN,2019-08-09 17:14,JM,14,14A-1,VP137,0.137205318,0.000,0.000,0.000,0.000,0.000,0.000,1.000,8.28677845,"Drove along levee and looked, not possible to see Enough from just one point ",1859.194869,50998.92266
239,KRN,2019-08-09 17:19,TB,14,14C-1,VP143,0.042874534,0.100,0.500,0.200,0.000,0.000,0.000,0.000,3.975389719,,713.2293642,24468.28895
240,KRN,2019-08-09 17:21,LD,14,14C-1,VP144,0.013131953,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.217613935,,439.5512096,7494.433178
241,KRN,2019-08-09 17:23,GG,14,14B-2,VP145,0.027924897,0.300,0.000,0.000,0.000,0.000,0.000,0.700,2.561131716,,506.5137714,15760.83699
242,KRN,2019-08-09 17:23,JM,14,14B-2,VP146,0.009129782,0.350,0.000,0.000,0.000,0.000,0.000,0.550,0.83733803,,328.1247172,5152.769763
243,KRN,2019-08-09 17:28,GG,14,14B-2,VP148,0.033628099,0.650,0.150,0.000,0.000,0.000,0.000,0.200,3.084201097,,579.3797278,18980.53303
244,KRN,2019-08-09 17:28,JM,14,14B-2,VP149,0.036881316,0.250,0.000,0.000,0.000,0.000,0.000,0.000,3.382569551,,742.656921,20816.31782
245,KRN,2019-08-09 17:37,GG,14,14B-2,VP151,0.039947171,0.150,0.000,0.000,0.000,0.000,0.000,0.850,3.663755417,,661.5488221,22548.22373
246,KRN,2019-08-09 17:44,GG,14,14D-1,VP153,0.042552136,0.150,0.000,0.000,0.000,0.000,0.000,0.850,3.50616622,,623.1596846,21579.04607
247,KRN,2019-08-09 17:50,GG,14,14A-1,VP155,0.039150342,0.050,0.000,0.000,0.000,0.000,0.000,0.950,2.364560127,,470.120849,14549.96004
248,SLW,2019-08-12 15:01,JM,Lewis 1,22,VP159,0.122565523,0.000,0.000,0.000,0.100,0.250,0.050,0.000,3.618768215,,663.0718206,23892.40853
249,SLW,2019-08-12 16:16,LD,Lewis 1,22,VP160,0.069160484,0.000,0.000,0.700,0.000,0.000,0.000,0.300,2.04197526,,492.3804036,13483.28572
250,SLW,2019-08-12 16:21,LD,Lewis 1,22,VP161,0.118705429,0.000,0.600,0.000,0.000,0.100,0.000,0.300,3.504798174,,589.8049234,23140.97667
251,SLW,2019-08-12 16:25,LD,Lewis 1,22,VP163,0.223958001,0.000,0.000,0.700,0.000,0.150,0.000,0.000,6.612397671,,957.9871533,43656.82717
252,KRN,2019-08-13 22:18,GG,14,14G-1,VP187,0.017453691,0.200,0.000,0.000,0.000,0.000,0.000,0.800,2.321613312,,568.141858,14294.21021
253,KRN,2019-08-13 22:23,GG,14,14E-1,VP188,0.033194002,0.250,0.050,0.000,0.000,0.000,0.000,0.700,2.850664139,,547.0157746,17550.36219
254,KRN,2019-08-13 22:28,GG,14,14E-1,VP190,0.039904557,0.250,0.000,0.000,0.000,0.000,0.000,0.850,3.426958561,,627.1456478,21097.76695
255,KRN,2019-08-13 22:32,Gag,14,14E-1,VP192,0.038409267,0.150,0.000,0.000,0.000,0.000,0.000,0.850,3.298545361,,615.0714152,20306.12409
256,KRN,2019-08-13 22:44,GG,14,14E-1,VP193,0.049348764,0.100,0.000,0.000,0.000,0.000,0.000,0.900,4.238016605,,625.9331956,26088.97317
257,KRN,2019-08-13 22:45,GG,14,14E-1,VP194,0.035253424,0.050,0.000,0.000,0.000,0.000,0.000,0.950,3.02752471,,542.4970362,18636.72349
258,PIX,2019-08-14 16:49,GG,9A,9A,VP202,0.711726189,0.400,0.300,0.250,0.050,0.000,0.000,0.000,21.71475983,,1577.813715,134247.1133
259,PIX,2019-08-14 17:16,GG,7A,7A,VP207,0.766379237,0.450,0.200,0.050,0.000,0.000,0.000,0.300,23.97863197,,1820.37713,148241.3293
260,PIX,2019-08-14 17:25,GG,1,1,VP210,0.201933533,0.050,0.025,0.000,0.000,0.000,0.000,0.900,28.46151161,,2244.900658,175967.7776
261,PIX,2019-08-14 17:55,GG,1,1,VP213,0.068467274,0.300,0.450,0.100,0.000,0.000,0.000,0.150,9.650115967,,1001.985979,59667.91418
262,PIX,2019-08-14 18:00,GG,3,3,VP215,0.130636528,0.300,0.350,0.250,0.000,0.150,0.000,0.050,6.317080975,,800.3051724,39056.28417
263,PIX,2019-08-14 18:04,GG,3,3,VP217,0.14257732,0.250,0.300,0.300,0.000,0.100,0.200,0.000,6.894491673,,856.6086238,42627.90968
264,PIX,2019-08-14 18:08,GG,3A,3A,VP219,0.19040823,0.150,0.250,0.500,0.000,0.150,0.100,0.000,14.10991859,,1186.270316,87247.38023
265,PIX,2019-08-14 18:14,GG,4A,4A,VP221,0.629137218,0.550,0.200,0.100,0.000,0.100,0.100,0.000,28.40533257,,1647.429559,175641.0305
266,PIX,2019-08-14 18:23,GG,4A,4A,VP225,0.154847533,0.800,0.100,0.050,0.000,0.025,0.010,0.000,6.991313457,,828.2538422,43224.89709
267,KRN,2019-08-14 21:17,GG,4A,4A-6,VP233,0.14329429,0.150,0.200,0.000,0.000,0.000,0.000,0.650,9.434633255,,1007.763357,58060.78812
268,CLS,2019-08-20 18:11,JM,T15,T15:1,VP265,0.154772282,0.050,0.250,0.650,0.000,0.000,0.000,0.050,5.433368683,,773.259946,36613.43521
269,CLS,2019-08-20 20:18,JM,T10,T10:3,VP271,0.096907265,0.000,0.000,0.000,0.100,0.000,0.000,0.900,4.161006927,,741.1839539,28054.99873
270,CLS,2019-08-20 20:36,TB,T10,T10:3,VP272,0.07899005,0.000,0.000,0.000,0.100,0.200,0.000,0.000,3.391677141,,864.8628449,22867.7467
271,CLS,2019-08-21 17:23,JM,T6,T6:2,VP277,0.207505807,0.000,0.000,0.000,0.000,0.450,0.450,0.100,7.065124035,,915.8512756,47651.34879
272,CLS,2019-08-21 17:25,JM,T6,T6:2,VP278,0.154597282,0.000,0.000,0.000,0.200,0.650,0.100,0.050,5.263703346,,837.4499983,35500.46585
273,CLS,2019-08-21 17:27,JM,T6,T6:2,VP279,0.413477063,0.000,0.000,0.000,0.100,0.800,0.100,0.000,14.07800198,,1255.985382,94944.78258
274,CLS,2019-08-21 17:34,JM,T6,T6:2,VP282,0.20248279,0.000,0.000,0.000,0.200,0.250,0.300,0.250,6.894100666,,906.2683251,46501.87658
275,CLS,2019-08-21 17:36,JM,T6,T6:1,VP283,0.366886437,0.000,0.000,0.000,0.100,0.100,0.650,0.100,9.754308701,,1095.586965,65792.80187
276,CLS,2019-08-21 17:47,JM,T6,T6:3,VP285,0.118293367,0.000,0.000,0.000,0.200,0.400,0.250,0.150,5.364780426,,938.0150041,36179.54693
277,CLS,2019-08-21 17:55,JM,T6,T6:4,VP289,0.143843397,0.000,0.000,0.000,0.250,0.250,0.250,0.250,4.105535984,,740.7965208,27686.14667
278,CLS,2019-08-21 18:07,JM,T6,T6:4,VP290,0.156726018,0.000,0.000,0.000,0.100,0.000,0.850,0.050,4.473228455,,791.286166,30167.63982
279,CLS,2019-08-21 18:09,JM,T6,T6:4,VP291,0.294846267,0.000,0.000,0.000,0.100,0.400,0.400,0.100,8.415415764,,980.4392772,56747.99481
280,CLS,2019-08-21 18:17,JM,T10,T10:3,VP294,0.349344403,0.000,0.350,0.350,0.000,0.000,0.000,0.300,15.00015545,Timothy not developed,1250.794075,101139.4936
281,CLS,2019-08-21 18:46,JM,T24,T24:5,VP299,0.095241517,0.000,0.000,0.000,0.000,0.250,0.250,0.400,2.68156743,,615.3719305,18065.04775
282,KRN,2019-08-23 15:22,GG,5B,5B-1,VP313,0.212361842,0.250,0.400,0.150,0.000,0.000,0.000,0.200,4.841569901,,763.3856451,29806.5553
283,KRN,2019-08-23 15:32,GG,5B,5B-3,VP318,0.101587616,0.050,0.050,0.000,0.000,0.000,0.000,0.900,5.845774174,,781.5013241,35990.64657
284,KRN,2019-08-23 15:52,GG,6A,6A-4,VP327,0.386017621,0.200,0.150,0.100,0.000,0.000,0.000,0.550,10.96675014,,1076.494219,67526.68138
